Official (scientific) name,Common name
Bacillus thuringiensis,
Bacillus thuringiensis subsp. medellin,
Bacillus thuringiensis subsp. neoleoensis,
Bacillus thuringiensis subsp. kenyae,
Bacillus thuringiensis subsp. kyushuensis,
Bacillus thuringiensis subsp. wuhanensis,
Bacillus thuringiensis subsp. dakota,
Bactrocera tuberculata,
Bacteroides uniformis (strain ATCC 8492 / DSM 6597 / CCUG 4942 / CIP 103695 / JCM 5828 / KCTC 5204 / NCTC 13054 / VPI 0061),
Bacillus thuringiensis subsp. darmstadiensis,
Bactrocera tsuneonis,
Bacillus thuringiensis subsp. fukuokaensis,
Bacillus thuringiensis subsp. higo,
Bacillus thuringiensis serovar kumamotoensis,
Bactrocera umbrosa,
Bacteroides uniformis,
Bacillus thuringiensis subsp. thompsoni,
Bacillus vallismortis,
Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / LMG 26770 / FZB42),
Bacillus sp. (strain NCIM 5461 / CCTCC AB 2011126 / NIO-1130),
Bactrocera xanthodes,
Bacillus sp. (strain YM-2),
Bacillus sp. (strain YaB),
Bacillus sp. (strain YM-1),
Bactrocera zonata,
Baeolophus bicolor,
Baeckea frutescens,
Baeolophus inornatus,
Baeolophus ridgwayi,
Baboon endogenous virus (strain M7),
Baeolophus wollweberi,
Bagrus docmak,
Bahaba taipingensis,
Bairdiella chrysoura,
Baiomys musculus,
Baizongia pistaciae,
Baiomys taylori,
Bajacalifornia megalops,
Balaenoptera acutorostrata,
Balaenoptera acutorostrata scammoni,
Balaenoptera bonaerensis,
Balaenoptera borealis,
Balaenoptera brydei,
Balanoglossus carnosus,
Balanoglossus clavigerus,
Balistoides conspicillum,
Balistes capriscus,
Balaenoptera edeni,
Balanus glandula,
Balneicella halophila,
Balionycteris maculata,
Balaenoptera musculus,
Balaena mysticetus,
Balanus nubilus,
Balansia obtecta,
Balaenoptera omurai,
Balearica pavonina,
Balaenoptera physalus,
Balantiopteryx plicata,
Baldellia ranunculoides,
Balearica regulorum,
Balaka seemannii,
Balistapus undulatus,
Balistes vetula,
Balanops vieillardii,
Bambusa multiplex,
Bambusa oldhamii,
Bambusicola thoracicus,
Bambusa vulgaris,
Bangia atropurpurea,
Bankia carinata,
Banksia candolleana,
Banksia cuneata,
Banasa dimiata,
Banksia ericifolia,
Bangia fuscopurpurea,
Bankia gouldi,
Banksia grandis,
Bandicota indica,
Banksia menziesii,
Banksia oblongifolia,
Banksia petiolaris,
Banksia pulchella,
Banksia quercifolia,
Bantua robusta,
Bandicota savilei,
Banksia serrata,
Banksia sessilis,
Bankia setacea,
Banksia tricuspis,
Baptisia australis,
Baptisia tinctoria,
Bartonella australis (strain Aust/NH1),
Bartsia alpina,
Barringtonia asiatica,
Bartonella bacilliformis,
Barbatula barbatula,
Barilius bendelisis,
Bartonella bacilliformis (strain ATCC 35685 / KC583 / Herrer 020/F12,63),
Barbastella barbastellus,
Bartonella clarridgeiae (strain CCUG 45776 / CIP 104772 / 73),
Barnadesia caryophylla,
Bartonella clarridgeiae,
Barbatia candida,
Barytelphusa cunicularis,
Bartonella doshiae,
Bartonella elizabethae,
Bartonella grahamii (strain as4aup),
Bartonella grahamii,
Bartonella henselae (strain ATCC 49882 / DSM 28221 / CCUG 30454 / Houston 1),
Bartonella henselae,
Barytettix humphreysi,
Bartramia ithyphylla,
Barnardia japonica,
Bartramia longicauda,
Barclaya longifolia,
Baryphthengus martii,
Barbeya oleoides,
Bartramia pomiformis,
Barleria prionitis,
Barytettix psolus,
Bartonella quintana,
Bartonella quintana (strain Toulouse),
Barbatia reeveana,
Barbourisia rufa,
Baryphthengus ruficapillus,
Barbonymus schwanefeldii,
Bartlettina sordida,
Barnadesia spinosa,
Bartonella schoenbuchensis (strain DSM 13525 / NCTC 13165 / R1),
Bartonella tribocorum (strain CIP 105476 / IBS 506),
Bartonella taylorii,
Barbatula toni,
Bartonella vinsonii subsp. berkhoffii,
Barbarea verna,
Bartonella vinsonii,
Bartonia virginica,
Barbarea vulgaris,
Bartonella vinsonii subsp. berkhoffii (strain Winnie),
Basella alba,
Basileostylus bollonsi,
Basiphyllaea corallicola,
Basileuterus culicivorus,
Bassiana duperreyi,
Bassaricyon gabbii,
Bassia hyssopifolia,
Basilinna leucotis,
Basiliscus plumifrons,
Bassia prostrata,
Bassia scoparia,
Bathypolypus sponsalis,
Basiliscus vittatus,
Bathyteuthis abyssicola,
Bathypolypus arcticus,
Batrachoseps attenuatus,
Bathygobius cocosensis,
Bathyctena chuni,
Bathyprion danae,
Batrachochytrium dendrobatidis,
Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211),
Batrachochytrium dendrobatidis (strain JEL423),
Bathyraja eatonii,
Bathylychnops exilis,
Bathygobius geminatus,
Bathynomus giganteus,
Batomys granti,
Bathykurila guaymasensis,
Bathyraja interrupta,
Bathyergus janetta,
Batocera lineolata,
Batrachuperus londongensis,
Batis maritima,
Batozonellus maculifrons,
Batrachoseps major,
Bathyraja multispinis,
Bathynectes maravigna,
Batrachocottus multiradiatus,
Batrachocottus nikolskii,
Batophora oerstedii,
Battus philenor,
Batrachuperus pinchonii,
Batomys salomonseni,
Batrachostomus septimus,
Bathygobius soporator,
Bathyergus suillus,
Batrachuperus tibetanus,
Batrachoseps wrighti,
Bathyarchaeota archaeon (strain B24),
Batrachuperus yenyuanensis,
Bauhinia bauhinioides,
Baumannia cicadellinicola subsp. Homalodisca coagulata,
Baudoinia panamericana (strain UAMH 10762),
Bauhinia purpurea,
Bauhinia rufa,
Bauera rubioides,
Bauhinia sp.,
Bauhinia ungulata,
Bauhinia variegata,
Baxteria australis,
Baylisascaris ailuri,
Bayerotrochus midas,
Baylisascaris procyonis,
Baylisascaris schroederi,
Baylisascaris transfuga,
Bazzania trilobata,
Broad bean mottle virus,
Bdellovibrio bacteriovorus (strain ATCC 15356 / DSM 50701 / NCIMB 9529 / HD100),
Bdellovibrio bacteriovorus,
Bdelloura candida,
Bdeogale nigripes,
Beauveria bassiana (strain ARSEF 2860),
Beauveria bassiana,
Beaumontia grandiflora,
Beamys hindei,
Beatragus hunteri,
Beaucarnea recurvata,
Beaufortia szechuanensis,
Beccariophoenix madagascariensis,
Bedeva vinosa,
Begonia metallica x Begonia sanguinea,
Behnia reticulata,
Beijerinckia indica subsp. indica (strain ATCC 9039 / DSM 1715 / NCIMB 8712),
Bejaria resinosa,
Belliella baltica (strain DSM 15883 / CIP 108006 / LMG 21964 / BA134),
Bellendena montana,
Belomys pearsonii,
Bemisia argentifolii,
Bembecia ichneumoniformis,
Bembidion lampros,
Bembidion rapidum,
Bemisia tabaci,
Bembidion tetracolum,
Benthopecten acanthonotus,
Benincasa hispida,
Bentinckia nicobarica,
Benedenia seriolae,
Beroe abyssicola,
Berardius arnuxii,
Berylmys berdmorei,
Berberis bealei,
Berardius bairdii,
Berylmys bowersi,
Bertiera breviflora,
Berberis chitria,
Berthellina citrina,
Berenicornis comatus,
Bergenia crassifolia,
Bergeriella denitrificans,
Bertholletia excelsa,
Berkeleya fennica,
Berberis fortunei,
Beroe forskalii,
Bernardetia litoralis (strain ATCC 23117 / DSM 6794 / NBRC 15988 / NCIMB 1366 / Fx l1 / Sio-4),
Berberis lycium,
Berryteuthis magister,
Berberomeloe majalis,
Beroe ovata,
Beringraja pulchra,
Beringraja rhina,
Berthella sideralis,
Beryx splendens,
Berberis thunbergii,
Beris vallata,
Berberis wilsoniae,
Besnoitia darlingi,
Besnoitia oryctofelisi,
Betula lenta,
Betta mahachaiensis,
Betula nigra,
Betula papyrifera,
Bettongia penicillata,
Betula platyphylla,
Betula pendula,
Betula populifolia,
Betula schmidtii,
Betulapion simile,
Betta smaragdina,
Betta splendens,
Bettongia tropica,
Beta trigyna,
Beta vulgaris subsp. maritima,
Beta vulgaris,
Beutenbergia cavernae (strain ATCC BAA-8 / DSM 12333 / NBRC 16432),
Bibio longipes,
Bibio marci,
Bibersteinia trehalosi,
Bibio xanthopus,
Bicyclus anynana,
Bidens pilosa,
Bifidobacterium animalis subsp. lactis (strain AD011),
Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a),
Bifidobacterium animalis subsp. lactis (strain BB-12),
Bifidobacterium adolescentis,
Bifidobacterium animalis subsp. lactis,
Bifidobacterium asteroides (strain PRL2011),
Bifidobacterium animalis subsp. animalis (strain ATCC 25527 / DSM 20104 / JCM 1190 / R101-8),
Bifidobacterium animalis subsp. lactis (strain DSM 10140 / JCM 10602 / LMG 18314),
Bifidobacterium animalis subsp. lactis (strain V9),
Bifidobacterium bifidum (strain DSM 20082 / JCM 1254 / BCRC 11844 / KCTC 3440 / E319f (Variant a)),
Bifidobacterium breve (strain ACS-071-V-Sch8b),
Bifidobacterium bifidum,
Bifidobacterium bifidum (strain PRL2010),
Bifidobacterium breve,
Bifidobacterium bifidum (strain S17),
Bifidobacterium breve (strain NCIMB 8807 / UCC2003),
Bifidobacterium dentium (strain ATCC 27534 / DSM 20436 / JCM 1195 / Bd1),
Bifidobacterium longum subsp. infantis (strain 157F),
Bifidobacterium longum subsp. longum (strain ATCC 15707 / DSM 20219 / JCM 1217 / NCTC 11818 / E194b),
Bifidobacterium animalis subsp. lactis (strain Bl-04 / DGCC2908 / RB 4825 / SD5219),
Bifidobacterium longum (strain DJO10A),
Bifidobacterium longum subsp. infantis,
Bifidobacterium longum subsp. longum (strain JDM301),
Bifidobacterium longum subsp. longum (strain BBMN68),
Bifidobacterium longum,
Bifidobacterium longum (strain NCC 2705),
Bifidobacterium longum subsp. infantis (strain ATCC 15697 / DSM 20088 / JCM 1222 / NCTC 11817 / S12),
Bifidobacterium ruminantium (strain ATCC 49430 / DSM 6489 / JCM 8222 / CCUG 34975 / KCTC 3425 / LMG 21811 / Ru687),
Bifidobacterium ruminantium,
Bignonia aequinoctialis,
Bigelowiella natans,
Bigelowiella natans (strain CCMP2755),
Bijoaraneus mitificus,
Bilophila wadsworthia (strain 3_1_6),
Bilophila wadsworthia,
Biomphalaria alexandrina,
Biomphalaria choanomphala,
Biomphalaria glabrata,
Biomphalaria obstructa,
Bionectria ochroleuca,
Bionia pedicellata,
Biomphalaria pfeifferi,
Biomphalaria sudanica,
Biomphalaria tenagophila,
Bipes biporus,
Bipes canaliculatus,
Bipolaricaulis sibiricus,
Bipolaris victoriae (strain FI3),
Bison bison bison,
Biston betularia,
Bison bison,
Bison bonasus,
Bistorta officinalis,
Biston panterinaria,
Bison priscus,
Bisanthe pulchripennis,
Biston suppressaria,
Bitis arietans,
Bitis atropos,
Blitum bonus-henricus,
Bitis caudalis,
Bittacomorpha clavipes,
Bitis gabonica,
Bitis nasicornis,
Bittacus pilicornis,
Bitis rhinoceros,
Bittacus strigosus,
Bithynia tentaculata,
Bitis worthingtoni,
Bivetiella cancellata,
Bixa orellana,
Biziura lobata,
Bizionia paragorgiae,
Blaesodactylus antongilensis,
Blarinomys breviceps,
Blaesodactylus boivini,
Blarina brevicauda,
Blanfordimys bucharensis,
Blarina carolinensis,
Blanus cinereus,
Blaberus craniifer,
Blastocerus dichotomus,
Blaberus discoidalis,
Blaptica dubia,
Blastocladiella emersonii,
Blattella germanica,
Blaberus giganteus,
Blastomyces gilchristii (strain SLH14081),
Blautia hansenii,
Blastocystis sp. subtype 1 (strain ATCC 50177 / NandII),
Blastocystis hominis,
Blautia hydrogenotrophica (strain DSM 10507 / JCM 14656 / S5a33),
Blarina hylophaga,
Blanfordimys juldaschi,
Blaps mucronata,
Blastopsylla occidentalis,
Blatta orientalis,
Blackburnia puncticeps,
Blaps rhynchoptera,
Blattabacterium sp. subsp. Blattella germanica (strain Bge),
Blastococcus saxobsidens (strain DD2),
Blattabacterium sp. subsp. Periplaneta americana (strain BPLAN),
Blakeslea trispora,
Blastochloris viridis,
Blackburnia waialeale,
Blepharocarya depauperata,
Blepharisma japonicum,
Blepharisma musculus,
Blennosperma nanum,
Blechnum occidentale,
Blechnopsis orientalis,
Blepharispermum zanguebaricum,
Blindia acuta,
Fungal sp. (strain No.11243),
Bloomeria clevelandii,
Bloomeria crocea,
Blochmannia floridanus,
Blossfeldia liliputana,
Blochmannia pennsylvanicus (strain BPEN),
Blochmannia vafer (strain BVAF),
Blumeria graminis f. sp. hordei (strain DH14),
Blumeria graminis,
Blumeria hordei,
Boana albopunctata,
Boaedon capensis,
Boaedon fuliginosus,
Boana lemai,
Boaedon lineatus,
Boana lundii,
Boaedon olivaceus,
Boana punctata,
Boana raniceps,
Boaedon virgatus,
Bobartia gladiata,
Bos indicus x Bos taurus,
Bos frontalis x Bos indicus,
Boccardia acus,
Boccardia proboscidea,
Bodianus oxycephalus,
Bodo saltans,
Boechera fecunda,
Boechera gunnisoniana,
Boechera holboellii,
Boechera laevigata,
Boechera lignifera,
Boechera microphylla,
Boehmeria nivea,
Boechera parishii,
Boesenbergia rotunda,
Boechera stricta,
Bogertophis subocularis,
Boiga dendrophila,
Boiga irregularis,
Bokermannohyla alvarengai,
Bolitoglossa adspersa,
Bolitoglossa altamazonica,
Bolitoglossa alvaradoi,
Boloria bellona,
Bolinus brandaris,
Bolitoglossa colonnea,
Bolitoglossa dofleini,
Boletus edulis,
Boloria epithore,
Boloria eunomia,
Bolitoglossa flavimembris,
Bolborhynchus lineola,
Bolbometopon muricatum,
Boloria napaea,
Boleophthalmus pectinirostris,
Bolitaena pygmaea,
Boloria selene,
Bolomys urichi,
Boltenia villosa,
Bombus barbutellus,
Bombus bohemicus,
Bombina bombina,
Bombax buonopozense,
Bombycilla cedrorum,
Bombax ceiba,
Bombus cryptarum,
Bomarea edulis,
Bombus fraternus,
Bombycilla garrulus,
Bombus hortorum,
Bombus humilis,
Bombus hypnorum,
Bombycilla japonica,
Bombus lapidarius,
Bombus lucorum,
Bombyx mandarina,
Bombus magnus,
Bombyx mori,
Bombina maxima,
Bombina orientalis,
Bomarea ovallei,
Bombus pascuorum,
Bombus pensylvanicus,
Bombus pratorum,
Bombus rupestris,
Bombus ruderatus,
Bombus sylvestris,
Bombus sonorus,
Bombus subterraneus,
Bombus sylvarum,
Bombus terrestris,
Bombina variegata,
Bombus vestalis,
Boneia bidens,
Bonasa umbellus,
Booneacris glacialis,
Bordetella avium (strain 197N),
Borrelia andersonii,
Borreliella afzelii,
Borrelia anserina,
Borreliella afzelii (strain PKo),
Bordetella avium,
Boreophyllum birdiae,
Borrelia bissettiae (strain DSM 17990 / CIP 109136 / DN127),
Borreliella burgdorferi,
Borrelia bissettiae,
Borreliella burgdorferi (strain JD1),
Bordetella bronchiseptica (strain MO149),
Borreliella burgdorferi (strain N40),
Bordetella bronchiseptica,
Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50),
Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31),
Borreliella burgdorferi (strain ZS7),
Borrelia crocidurae (strain Achema),
Borrelia duttonii (strain Ly),
Boreus elegans,
Borrichia frutescens,
Borrelia garinii subsp. bavariensis (strain ATCC BAA-2496 / DSM 23469 / PBi),
Borreliella garinii,
Borrelia hermsii (strain HS1 / DAH),
Borrelia hermsii,
Borreliella japonica,
Borreliella kurtenbachii,
Bordetella pertussis (strain ATCC 9797 / DSM 5571 / NCTC 10739 / 18323),
Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),
Bordetella parapertussis (strain Bpp5),
Bordetella pertussis (strain CS),
Bordetella petrii (strain ATCC BAA-461 / DSM 12804 / CCUG 43448),
Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),
Borikenophis portoricensis,
Bordetella parapertussis,
Borrelia parkeri,
Bordetella pertussis,
Borrelia recurrentis (strain A1),
Boreogadus saida,
Bornetella sphaerica,
Borrelia turicatae (strain 91E135),
Borrelia turicatae,
Borreliella valaisiana,
Bostrychia calliptera,
Bostrycapulus calyptraeformis,
Bos gaurus frontalis,
Bos javanicus,
Bostrychia moritziana,
Bos mutus grunniens,
Bostrycapulus odites,
Bostrychia radicans,
Boswellia serrata,
Bothrochilus albertisii,
Bothrocophias andianus,
Bothrops barnetti,
Bothrops bilineatus,
Botryococcus braunii,
Bothrops bilineatus smaragdinus,
Bothrophthalmus brunneus,
Bothrops brazili,
Bothriocroton concolor,
Bothrops diporus,
Bothrops erythromelas,
Botryotinia fuckeliana (strain BcDW1),
Botryotinia fuckeliana (strain T4),
Botryotinia fuckeliana (strain B05.10),
Bothrops fonsecai,
Botryotinia fuckeliana,
Bothrocophias hyoprora,
Bothrops insularis,
Bothriochloa ischaemum,
Bothriechis lateralis,
Bothrops leucurus,
Botaurus lentiginosus,
Botrylloides leachii,
Bothrophthalmus lineatus,
Bothus lunatus,
Bothrops lutzi,
Bothrops marajoensis,
Bothus myriaster,
Bothriechis nigroviridis,
Bothrops neuwiedi urutu,
Bothrops neuwiedi,
Bothus ocellatus,
Bothrops pauloensis,
Bothrops pictus,
Bothrops pirajai,
Bothus pantherinus,
Bothus podas,
Botryosphaeria parva (strain UCR-NP2),
Botrylloides pizoni,
Bothus robinsi,
Bothriechis schlegelii,
Botaurus stellaris,
Botryllus schlosseri,
Bolitoglossa subpalmata,
Botrylloides violaceus,
Boudemos ardabilia,
Boulengerula boulengeri,
Boulengerochromis microlepis,
Boulengerula taitana,
Bowenia serrulata,
Bowiea volubilis,
Bacillus phage 010DV004,
Rhizobium phage 16-3,
Escherichia phage 186,
Pseudomonas phage 201phi2-1,
Thermus virus P23-45,
Staphylococcus phage 2638A,
Bacillus phage Bam35c,
Enterobacteria phage 434,
Staphylococcus phage 44AHJD,
Thermus virus P74-26,
Shigella phage 7888,
Staphylococcus phage 80alpha,
Enterobacteria phage 82,
Escherichia phage 933W,
Listeria phage A118,
Listeria phage A500,
Listeria phage A511,
Acinetobacter phage Ac42,
Acinetobacter phage Aristophanes,
Escherichia phage alpha3,
Acyrthosiphon pisum secondary endosymbiont phage 1,
Escherichia phage AR1,
Bacillus phage B103,
Streptococcus phage B30,
Burkholderia phage Bcep781 (isolate -/United States/Beer/1978),
Escherichia phage Bf23,
Burkholderia phage BcepMu (isolate -/United States/Summer/2002),
Enterobacteria phage BO1,
Bordetella phage BPP-1,
Bacillus phage BSP38,
Escherichia phage BZ13,
Bacteroides phage crAss001,
Chlamydia phage 1,
Streptococcus phage Cp-1,
Streptococcus phage Cp-7,
Streptococcus phage Cp-9,
Vibrio phage CP-T1,
Escherichia phage D108,
Pseudomonas phage D3,
Pseudomonas phage D3112,
Pneumococcus phage Dp-1,
Pseudomonas phage phiKZ,
Salmonella phage epsilon15,
Escherichia phage Phieco32,
Enterobacteria phage f1,
Enterobacteria phage f2,
Lactococcus phage F4-1,
Erwinia phage FBB1,
Enterobacteria phage fd,
Salmonella phage Felix O1 (isolate Felix O1-VT1),
Enterobacteria phage fr,
Enterobacteria phage FSalpha,
Thermus phage G20c,
Escherichia phage G4,
Enterobacteria phage GA,
Bacillus phage GA-1,
Klebsiella phage GH-K3,
Bacillus phage vB_BsuM-Goe3,
Bacillus phage vB_BveM-Goe7,
Escherichia phage vB_EcoM_Goslar,
Bacillus phage Grass,
Enterobacteria phage H19B,
Bacteriophage H30,
Streptococcus pyogenes phage H4489A,
Streptococcus pyogenes phage H10403,
Thermus phage PH75,
Halomonas phage phiHAP-1 (isolate -/Gulf of Mexico/-/2001),
Streptococcus pneumoniae phage HB-3,
Haemophilus phage HP1 (strain HP1c1),
Escherichia phage HK022,
Enterobacteria phage HK620,
Enterobacteria phage HK97,
Haemophilus phage HP1,
Enterobacteria phage I2-2,
Escherichia phage If1,
Salmonella phage IKe,
Enterobacteria phage JP34,
Enterobacteria phage JP501,
Klebsiella phage 0507KN21,
Enterobacteria phage K11,
Klebsiella phage SH-KP152226,
Escherichia phage K1E,
Escherichia phage K1F,
Pseudomonas phage KPP21,
Pseudomonas phage KPP22,
Enterobacteria phage K3,
Klebsiella phage KN3-1,
Klebsiella phage KP32,
Klebsiella phage KP34,
Klebsiella phage KP36,
Klebsiella phage KN4-1,
Escherichia virus K5,
Klebsiella phage P510,
Klebsiella phage K5-2,
Klebsiella phage K5-4,
Klebsiella phage P560,
Klebsiella phage K64-1,
Klebsiella phage KpV71,
Klebsiella phage vB_KpnP_KpV74,
Klebsiella phage B1,
Helicobacter pylori bacteriophage KHP30,
Klebsiella phage vB_KpnP_IME205,
Pseudomonas phage phiKMV,
Klebsiella phage KN1-1,
Klebsiella phage NTUH-K2044-K1-1,
Klebsiella oxytoca phage phiKO2,
Pseudomonas phage KPP25,
Pseudomonas phage KPP10,
Klebsiella phage RAD2,
Enterobacteria phage KU1,
Acholeplasma phage L2,
Staphylococcus phage L54a,
Lactococcus phage (isolate 7-9),
Lactococcus phage c2,
Lactococcus phage LL-H,
Lactococcus phage P008,
Lactococcus phage p2,
Enterobacteria phage LP7,
Lactococcus phage SK1,
Pseudomonas phage LUZ24,
Enterobacteria phage LZ1,
Enterobacteria phage LZ3,
Enterobacteria phage LZ4,
Enterobacteria phage LZ5,
Enterobacteria phage M,
Enterobacteria phage M1,
Enterobacteria phage M13,
Bacillus phage M2,
Mycobacterium phage Bxb1,
Mycobacterium phage Bxz2,
Mycobacterium phage Bxz1,
Mycobacterium phage Corndog,
Mycobacterium phage D29,
Mycobacterium phage FRAT1,
Mycobacterium phage L5,
Mycobacterium phage Omega,
Staphylococcus phage phiMR11,
Staphylococcus phage phiMR25,
Escherichia phage MS2,
Mycobacterium phage TM4,
Escherichia phage Mu,
Lactococcus phage mv1,
Lactococcus phage mv4,
Qbeta virus (strain MX1),
Escherichia phage N15,
Enterobacteria phage N4,
Bacillus phage Nf,
Nitratiruptor phage NrS-1,
Streptococcus phage O1205,
Enterobacteria phage Ox2,
Escherichia phage P1,
Escherichia phage P2,
Enterobacteria phage P21,
Salmonella phage P22,
Enterobacteria phage P4,
Staphylococcus phage 42D,
Enterobacteria phage P7,
Enterobacteria phage PA-2,
Pseudomonas phage PhiPA3,
Pseudomonas phage PAJU2,
Pseudomonas phage PaMx11,
Bacillus phage PBS1,
Bacillus phage PBS2,
Clostridium phage phiCD119 (strain Clostridium difficile/United States/Govind/2006),
Pseudomonas phage Pf1,
Pseudomonas phage Pf3,
Staphylococcus phage K,
Bacillus phage phi105,
Bacillus phage phi29,
Enterobacteria phage phi21,
Bacillus phage phi15,
Pseudomonas phage phi6,
Enterobacteria phage phi80,
Staphylococcus phage phi11,
Streptomyces phage phiC31,
Staphylococcus phage phi13,
Enterococcus phage phiEF24C,
Halobacterium phage phiH,
Enterobacteria phage phiK,
Xanthomonas phage phiLf,
Bdellovibrio phage phiMH2K,
Enterobacteria phage phiX174 (Isolate Sanger),
Bacillus phage phi3T,
Lactococcus phage phivML3,
Escherichia phage phiX174,
Escherichia phage phiKT,
Pseudoalteromonas phage PM2,
Pseudomonas phage M6,
Salmonella phage PMBT28,
Pseudomonas phage PaP2,
Pseudomonas phage PaMx33,
Pseudomonas phage PaMx41,
Pseudomonas phage PP7,
Pseudomonas phage JBD67,
Yersinia phage phiR1-RT,
Enterobacteria phage PRD1,
Prochlorococcus phage P-SSM2,
Prochlorococcus phage P-SSP7,
Pseudomonas phage PRR1,
Prochlorococcus phage P-SSM4,
Bacteriophage PS119,
Bacteriophage PS34,
Staphylococcus phage S24-1,
Bacillus phage SBSphiJ7,
Staphylococcus phage S13',
Enterobacteria phage PST,
Yersinia phage PY54,
Pseudomonas phage YuA,
Bacillus phage PZA,
Escherichia virus Qbeta,
Enterobacteria phage RB3,
Enterobacteria phage RB6,
Enterobacteria phage RB8,
Enterobacteria phage RB9,
Enterobacteria phage RB10,
Enterobacteria phage RB15,
Enterobacteria phage R17,
Enterobacteria phage RB18,
Lactococcus phage r1t,
Enterobacteria phage RB27,
Enterobacteria phage RB32,
Enterobacteria phage RB51,
Escherichia phage RB69,
Enterobacteria phage RB70,
Escherichia phage RB16,
Escherichia phage RB49,
Bacillus phage rho11s,
Bacillus phage rho15,
Rhodothermus phage RM378,
Bacillus phage SP10,
Enterobacteria phage S13,
Escherichia phage SV14,
Salmonella phage S16,
Haemophilus phage S2,
Staphylococcus phage S25-4,
Staphylococcus phage S25-3,
Cyanophage S-2L,
Enterobacteria phage SV76,
Salmonella phage ViI,
Bacillus phage SBSphiJ,
Streptococcus phage C1,
Shigella phage SfII,
Shigella phage SfV,
Bacillus phage SF6,
Shigella phage Sf6,
Shigella phage SfX,
Staphylococcus phage phiH5,
Acinetobacter phage SH-Ab 15497,
Serratia phage KSP100,
Serratia phage KSP20,
Serratia phage KSP90,
Enterobacteria phage SP,
Bacillus phage SP01,
Bacillus phage SP02,
Enterobacteria phage SP6,
Shigella phage SP18,
Bacillus phage SPbeta,
Bacillus phage SPP1,
Bacillus phage SPR,
Escherichia phage St-1,
Salmonella phage ST64T,
Synechococcus phage S-PM2,
Synechococcus phage S-RSM2,
Synechococcus phage syn9,
Synechococcus phage S-WHM1,
Escherichia phage T1,
Streptococcus pyogenes phage T12,
Enterobacteria phage T2,
Enterobacteria phage T3,
Enterobacteria phage T4,
Escherichia phage T5,
Enterobacteria phage T6,
Escherichia phage T7,
Enterobacteria phage TH1,
Bacteriophage TS2126,
Lactococcus phage Tuc2009,
Staphylococcus phage Twort (strain DSM 17442 / HER 48),
Bovine papillomavirus type 1,
Bos taurus papillomavirus 2,
Bovine papillomavirus type 3,
Bos taurus papillomavirus 4,
Bovine papillomavirus type 5,
Bos taurus papillomavirus 6,
Vibrio phage phiVC8,
Enterobacteria phage VK,
Enterobacteria phage VT1-Sakai,
Enterobacteria phage VT2-Sa,
Delftia phage PhiW-14,
Xanthomonas phage Xf,
Enterobacteria phage ZJ/2,
Enterobacteria phage ZR,
Brachychiton acerifolius,
Brassicogethes aeneus,
Branchiostegus argentatus,
Brachypelma albiceps,
Brachytarsomys albicauda,
Brachyteles arachnoides,
Branchiostegus albus,
Brassia arcuigera,
Brama brama,
Branta bernicla,
Brachyramphus brevirostris,
Brachyuromys betsileoensis,
Branta canadensis,
Brachycaudus cardui,
Brahmaea certhia,
Brachyponera chinensis,
Brassica carinata,
Brassica campestris,
Brachylophosaurus canadensis,
Bradysia coprophila,
Brachythemis contaminata,
Brachyphylla cavernarum,
Bradypodion damaranum,
Brachyscome decipiens,
Brachypodium distachyon,
Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110),
Bradyrhizobium elkanii,
Brachycephalus ephippium,
Brachidontes exustus,
Brachylophus fasciatus,
Brachybacterium faecium (strain ATCC 43885 / DSM 4810 / JCM 11609 / LMG 19847 / NBRC 14762 / NCIMB 9860 / 6-10),
Bradypodion gutturale,
Brasiliscincus heathi,
Brachycaudus helichrysi,
Brachyspira hyodysenteriae,
Brachyspira hyodysenteriae (strain ATCC 49526 / WA1),
Brachyteles hypoxanthus,
Brachylagus idahoensis,
Brachyspira intermedia (strain ATCC 51140 / PWS/A),
Branchiostegus japonicus,
Brachaluteres jacksonianus,
Bradyrhizobium japonicum,
Brassica juncea,
Branchiostoma lanceolatum,
Branta leucopsis,
Brachyspira murdochii (strain ATCC 51284 / DSM 12563 / 56-150),
Brachyramphus marmoratus,
Brassica nigra,
Brachyphylla nana,
Brassavola nodosa,
Brachyphylla nana pumila,
Brassica oleracea var. alboglabra,
Brassica oleracea var. gemmifera,
Bradypodion occidentale,
Brassica oleracea,
Brassica oleracea var. viridis,
Brassica oxyrrhina,
Brachyspira pilosicoli (strain ATCC BAA-1826 / 95/1000),
Brachionus plicatilis,
Brachyhypopomus pinnicaudatus,
Brachymeria phya,
Brachypodium pinnatum,
Brachyspira pilosicoli,
Brachychiton populneus,
Bradypodion pumilum,
Brachyuromys ramirohitra,
Brassica rapa subsp. oleifera,
Brassica rapa subsp. pekinensis,
Bradyrhizobium sp. (strain ORS 375),
